pnl,user,baseAssetAmount,quoteAssetAmountAfter,quoteEntryAmount,settlePrice,txSig,slot,datetime,marketIndex,explanation,programId
-24.185837,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,228.0,-563.909664,-521.756787,2.473288,2qtZZCwQttc4q5KvhJZG6zQvEnFeRgHobxMNSPcxNKckQ1FkJQqNhLWYVZtvKenbSrRzWm2RWsDkugR7o3XUJFeK,250762994,2/27/2024  4:47:30 AM,20,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
-0.778848,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,228.0,-563.130816,-521.756787,2.469872,3Ra9st9c3uxpXrN5yr2tzhQVnsKbCbxYKv1fxcSaBUUPcAkyVicefipUjGkSbp15C7q6pvY3f95KVDNfqhkYDCDR,250763125,2/27/2024  4:48:23 AM,20,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
-16.684915,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,228.0,-546.7782,-521.756787,2.39815,4i6ZoWrufo5C32DhdUEuEdYLA2nfeKczM96h2yUqXmbkR6HukcEnLQK3vU3rkvrviNCrVaADEM9RbLJoBmFanE2e,250790467,2/27/2024  7:58:22 AM,20,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.373692,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,228.0,-547.151892,-521.756787,2.399789,65FJ5xccWmTCNp4B6ofXneHqZfkNLDRph9GN5mbJH1G8jBHL8G4EFq1co5R3LaXXBRS97eCLkuFazjoNs4EHJewD,250790529,2/27/2024  7:58:47 AM,20,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
55.928702,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,507.0,-296.080395,-150.579,0.583985,3Sjnb1gFG6NAZdnu5RoK4af1tjrHVY89fsWFtNmq71cRXTBQRyuVAwpAajteyxfXo7DFDjsCtTPoir5M5ccdHXBh,250796341,2/27/2024  8:38:58 AM,23,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
-7.418701,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,358.0,-250.47112,-163.404604,0.69964,ys9cTTfuEySm9tfUctUnoeQWCPccPyS7fAye293ZSJBQTMFmB3yAvd2W1FJrE7EjMXSNHSX7theU5mYcCK1FWnP,250796576,2/27/2024  8:40:36 AM,18,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
22.760032,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,507.0,-318.6495,-150.579,0.6285,3pVKwhXCUg32CSWrZQHJ2Aj3GiKJDGYY1JsyBDWYFaPNeDmFuP58xrhnPhZrSwQm45nzi6wo6FTkBncmjUpBoUdg,250828637,2/27/2024  12:23:14 PM,23,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
-1.097655,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,507.0,-317.551845,-150.579,0.626335,3TzCuuHR3qi8xkCV65BgKjfZvTjSyGvyqULoujX1bfdjJaGQ9JPUPnNsevfic6CqWYpUbQuaWwqCbSYZ7TFVWHhu,250828831,2/27/2024  12:24:36 PM,23,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
29.190115,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,28.4,-427.16724,-385.401979,15.0411,3AgXc3rQnZ9cW1E7iQoxUTqeF6RV4FaUtv3qRSPVTWCfJa1LYgxCkcxzvVyxHHLzvopwwg4Ttzf5ojTuevAoN9iP,250842311,2/27/2024  1:58:35 PM,4,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.11076,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,28.4,-427.278,-385.401979,15.045,4r7rgKrqj74UzBVU41WewpTGsXVqZ9pEVHu4Yd8gJigEqrGky9hw3USSJA6CXiCzY98SxNr489NqjVbt5xNFs6bF,250842386,2/27/2024  1:59:05 PM,4,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
